output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,-2.949520806805815,2.949520806805815,1.6522257959479492,15
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_fuel_cell,-6.825558761875892,6.825558761875892,3.7279548804363496,17
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,gamma_tank,-2.686251557622046,2.686251557622046,2.6132015666166626,16
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,electricity,0.0,0.0,0.0,15
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,liquid_hydrogen,-0.9171992541169955,0.9171992541169955,0.9724475500828847,18
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,e_saf,0.0,0.0,0.0,17
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_motor,-3.1254905152320602,3.1254905152320602,1.9725816733346766,16
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_p_propeller,-2.228526801284942,2.228526801284942,2.3061172410457544,17
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,oew_fan_b,-10.757809852987089,10.757809852987089,13.856901956730994,12
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,oew_fan_r_pivot,1.920396598203634,1.920396598203634,1.8917185486018167,16
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,oew_prop_b,-0.25276556111665677,0.25276556111665677,0.4528934461754443,16
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,oew_prop_r_pivot,0.08304202349011086,0.08304202349011086,0.255277692595076,18
E[Hydrogen fuel cell]@6000nmi_250kt_propeller,calibration_block,-0.4985562368581711,0.7537550212378568,0.9631660810738387,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen fuel cell]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,-99.34913910473693,99.34913910473693,73.61559640534576,16
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_fuel_cell,-44.0684913982803,44.0684913982803,42.31620985854467,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,gamma_tank,-6.081469308459405,6.081469308459405,6.832210696096026,17
E[Hydrogen fuel cell]@100nmi_350kt_fan,electricity,0.0,0.0,0.0,17
