output,fattore,mu,mu_star,sigma,n_ee,scala,mu_star_n,sigma_n,distanza,soglia,selezionato
E[Hydrogen combustion]@100nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,electricity,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,e_saf,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@100nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20,1.3589627008806278,0.0,0.0,0.0,0.10318468949442623,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_r_pivot,0.4909136682549741,0.4909136682549741,0.320952253889864,20,0.501229628193622,0.979418694828904,0.6403297726962821,1.1701637481915195,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_b,0.501229628193622,0.501229628193622,0.14781488945086993,20,0.501229628193622,1.0,0.2949045330452212,1.042577902897726,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_p_propeller,-0.4405586133680638,0.4405586133680638,0.13275948744410318,20,0.501229628193622,0.8789556494411351,0.26486759755713996,0.9179966655278105,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,calibration_block,-0.171851139790207,0.29477537424931677,0.29962370111586506,20,0.501229628193622,0.5881044488763677,0.5977773145527666,0.838572930985787,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,liquid_hydrogen,-0.3617805959954693,0.3617805959954693,0.12316384912147725,20,0.501229628193622,0.7217861348286371,0.2457234013985697,0.7624665333152308,0.11701637481915195,True
