output,fattore,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,interazione,n_valid,frazione_valida,N,trasformazione
E[Hydrogen combustion]@100nmi_350kt_fan,liquid_hydrogen,0.1681549121406692,,,0.16122201462444896,,,-0.006932897516220227,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,gamma_tank,0.03880666210065706,,,0.0136104054145603,,,-0.025196256686096756,64,1.0,64,log
E[Hydrogen combustion]@100nmi_350kt_fan,resto,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_b,0.6197207618751035,,,0.6240233608447229,,,0.004302598969619376,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_r_pivot,0.15142583365236995,,,0.1377344672159972,,,-0.013691366436372754,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,eta_motor,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,calibration_block,0.09947471675454747,,,0.06869852444215553,,,-0.03077619231239194,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,eta_fuel_cell,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,liquid_hydrogen,0.16693533421493956,,,0.15457183112051734,,,-0.012363503094422218,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,gamma_tank,0.03737744475867652,,,0.01358369331418666,,,-0.02379375144448986,64,1.0,64,log
E[Hydrogen combustion]@100nmi_450kt_fan,resto,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_b,0.2984212080330529,,,0.3138514322800793,,,0.015430224247026392,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_r_pivot,0.27711935835459267,,,0.2504318571427199,,,-0.026687501211872744,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_motor,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,calibration_block,0.16813547402193657,,,0.1079626753598827,,,-0.06017279866205387,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_fuel_cell,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,liquid_hydrogen,0.2699910508904909,,,0.22514434546169682,,,-0.0448467054287941,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,gamma_tank,0.14172243042095875,,,0.09298812052750077,,,-0.04873430989345798,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_450kt_fan,resto,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_b,0.45092191691450917,,,0.3979864185530348,,,-0.052935498361474376,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_r_pivot,0.21513619608975718,,,0.16683650207127337,,,-0.0482996940184838,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_motor,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,calibration_block,0.07434683273069631,,,0.05084765960365189,,,-0.023499173127044422,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_fuel_cell,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,liquid_hydrogen,0.16485833492152613,,,0.10529617338315708,,,-0.059562161538369046,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,gamma_tank,0.16667873857648227,,,0.2397664051692335,,,0.07308766659275123,64,1.0,64,log
E[Hydrogen combustion]@6000nmi_450kt_fan,resto,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_b,0.09905743745921101,,,0.15214783904081902,,,0.05309040158160801,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_r_pivot,0.1475194824297112,,,0.1609336555383176,,,0.013414173108606403,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_motor,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,calibration_block,0.19807114395854616,,,0.1989243666371052,,,0.0008532226785590291,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_fuel_cell,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,liquid_hydrogen,0.2066033161039873,,,0.1808547207879135,,,-0.02574859531607379,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_saf,0.0,,,0.0,,,0.0,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,gamma_tank,0.1835863953438577,,,0.12670647472066274,,,-0.05687992062319497,64,1.0,64,log
E[Hydrogen combustion]@1500nmi_250kt_propeller,resto,0.19004497010465304,,,0.18021299799378704,,,-0.009831972110866005,64,1.0,64,log
